name_clean,name_real
solin,Solin
solymar,Solymár
soponya,Soponya
somlojeno,Somlójenő
somlovecse,Somlóvecse
somloszolos,Somlószőlős
somlovasarhely,Somlóvásárhely
sopronnemeti,Sopronnémeti
sobor,Sobor
sokoropatka,Sokorópátka
sopron,Sopron
sopronkovesd,Sopronkövesd
sopronhorpacs,Sopronhorpács
sorkifalud,Sorkifalud
sorkikapolna,Sorkikápolna
sorokpolany,Sorokpolány
sormas,Sormás
somberek,Somberek
somogyviszlo,Somogyviszló
somogyapati,Somogyapáti
somogyhatvan,Somogyhatvan
somogyharsagy,Somogyhárságy
somogyaracs,Somogyaracs
somogyudvarhely,Somogyudvarhely
somogycsicso,Somogycsicsó
somogybukkosd,Somogybükkösd
somogyvar,Somogyvár
somogyvamos,Somogyvámos
somogybabod,Somogybabod
somogytur,Somogytúr
somogyszil,Somogyszil
somodor,Somodor
somogyfajsz,Somogyfajsz
somogygeszti,Somogygeszti
somogysard,Somogysárd
somogyjad,Somogyjád
somogyaszalo,Somogyaszaló
somogyzsitfa,Somogyzsitfa
somogyszentpal,Somogyszentpál
somogysamson,Somogysámson
somogysimonyi,Somogysimonyi
somogyszob,Somogyszob
som,Som
somogymeggyes,Somogymeggyes
somogydorocske,Somogydöröcske
somogyegres,Somogyegres
somogyacsa,Somogyacsa
somoskoujfalu,Somoskőújfalu
sonkad,Sonkád
solt,Solt
soltszentimre,Soltszentimre
soltvadkert,Soltvadkert
sonnagh,Sonnagh
sonna,Sonna
south_dock,South Dock
solloghodbeg,Solloghodbeg
south_gate_a,South Gate A
south_gate_b,South Gate B
soriso,Soriso
sozzago,Sozzago
somano,Somano
sommariva_del_bosco,Sommariva del Bosco
sommariva_perno,Sommariva Perno
soglio,Soglio
solero,Solero
solonghello,Solonghello
soprana,Soprana
sordevolo,Sordevolo
sostegno,Sostegno
solbiate_arno,Solbiate Arno
solbiate_olona,Solbiate Olona
somma_lombardo,Somma Lombardo
solbiate,Solbiate
sorico,Sorico
sormano,Sormano
sondalo,Sondalo
sondrio,Sondrio
solto_collina,Solto Collina
songavazzo,Songavazzo
sorisole,Sorisole
sotto_il_monte_giovanni_xxiii,Sotto il Monte Giovanni XXIII
sovere,Sovere
solza,Solza
soiano_del_lago,Soiano del Lago
sonico,Sonico
sommo,Sommo
solarolo_rainerio,Solarolo Rainerio
soncino,Soncino
soresina,Soresina
sospiro,Sospiro
somaglia,Somaglia
sordio,Sordio
sovico,Sovico
soldano,Soldano
sori,Sori
soraga,Soraga
sover,Sover
soave,Soave
sommacampagna,Sommacampagna
sona,Sona
sorga,Sorgà
solagna,Solagna
sossano,Sossano
sovizzo,Sovizzo
sospirolo,Sospirolo
soverzene,Soverzene
sovramonte,Sovramonte
solesino,Solesino
socchieve,Socchieve
solignano,Solignano
soragna,Soragna
sorbolo,Sorbolo
soliera,Soliera
solarolo,Solarolo
sogliano_al_rubicone,Sogliano al Rubicone
sovicille,Sovicille
sorano,Sorano
soriano_nel_cimino,Soriano nel Cimino
sonnino,Sonnino
solopaca,Solopaca
somma_vesuviana,Somma Vesuviana
sorrento,Sorrento
solofra,Solofra
sorbo_serpico,Sorbo Serpico
sogliano_cavour,Sogliano Cavour
soleto,Soleto
sorbo_san_basile,Sorbo San Basile
soverato,Soverato
soveria_mannelli,Soveria Mannelli
soveria_simeri,Soveria Simeri
sorianello,Sorianello
soriano_calabro,Soriano Calabro
sommatino,Sommatino
solarino,Solarino
sortino,Sortino
sorso,Sorso
sorgono,Sorgono
solarussa,Solarussa
sorradile,Sorradile
soddi,Soddì
soleminis,Soleminis
sokolku,Sokolku
someren,Someren
son_en_breugel,Son en Breugel
songdalen,Songdalen
sokndal,Sokndal
sola,Sola
solund,Solund
sogndal,Sogndal
sortland,Sortland
solec_kujawski,Solec Kujawski
sosno,Sośno
sosnowka,Sosnówka
sosnowica,Sosnowica
sokolniki,Sokolniki
sonsk,Sońsk
sobolew,Sobolew
solec_nad_wisla,Solec nad Wisłą
sobienie_jeziory,Sobienie-Jeziory
sochocin,Sochocin
sochaczew,Sochaczew
sokolow_podlaski,Sokołów Podlaski
somianka,Somianka
sokolow_malopolski,Sokołów Małopolski
solina,Solina
