name_clean,name_real
rathfarnham_st_endas,Rathfarnham-St. Enda's
rathfarnham_village,Rathfarnham Village
rathangan,Rathangan
rathernan,Rathernan
rathmore,Rathmore
rahinstown,Rahinstown
rathfeigh,Rathfeigh
rathkenny,Rathkenny
rathmore_number_an_rath_mhor,Rathmore#An Ráth Mhór
rathmolyon,Rathmolyon
ratoath,Ratoath
rath,Rath
rathdangan,Rathdangan
rathdrum,Rathdrum
rathsallagh,Rathsallagh
rathmichael_bray,Rathmichael (Bray)
rahona,Rahona
rathborney,Rathborney
rathclooney,Rathclooney
rathkeale_rural,Rathkeale Rural
rathkeale_urban,Rathkeale Urban
rathronan,Rathronan
rathbane,Rathbane
rahelty,Rahelty
rathcabban,Rathcabban
rathlynin,Rathlynin
rathnaveoge,Rathnaveoge
rahill,Rahill
rathanna,Rathanna
rathornan,Rathornan
rathrush,Rathrush
rathvilly,Rathvilly
rathbeagh,Rathbeagh
rathealy,Rathealy
rathpatrick,Rathpatrick
rathgormuck,Rathgormuck
rathmoylan,Rathmoylan
rathroe,Rathroe
rathluirc,Rathluirc
rahalisk,Rahalisk
rathbarry,Rathbarry
rathclarin,Rathclarin
rathcool,Rathcool
rathcooney,Rathcooney
rathcormack,Rathcormack
ratass,Ratass
rathea,Rathea
rangarthing_eystra,Rangárþing eystra
rangarthing_ytra,Rangárþing ytra
rassa,Rassa
racconigi,Racconigi
rancio_valcuvia,Rancio Valcuvia
ranco,Ranco
rasura,Rasura
ranica,Ranica
ranzanico,Ranzanico
ranzo,Ranzo
rapallo,Rapallo
racines_number_ratschings,Racines#Ratschings
rasun_anterselva_number_rasen_antholz,Rasun Anterselva#Rasen-Antholz
rabbi,Rabbi
ragogna,Ragogna
ravascletto,Ravascletto
raveo,Raveo
ravarino,Ravarino
ravenna,Ravenna
radda_in_chianti,Radda in Chianti
radicofani,Radicofani
radicondoli,Radicondoli
rapolano_terme,Rapolano Terme
rapagnano,Rapagnano
raiano,Raiano
rapino,Rapino
raviscanina,Raviscanina
ravello,Ravello
racale,Racale
rapolla,Rapolla
rapone,Rapone
raccuja,Raccuja
racalmuto,Racalmuto
raffadali,Raffadali
ravanusa,Ravanusa
raddusa,Raddusa
ramacca,Ramacca
randazzo,Randazzo
ragalna,Ragalna
ragusa,Ragusa
raitininkai,Raitininkai
raudondvaris,Raudondvaris
raseiniai,Raseiniai
raguva,Raguva
ramygala,Ramygala
radviliskis,Radviliškis
raudenai,Raudėnai
raudone,Raudonė
rasos,Rasos
rambrouch,Rambrouch
raiskuma,Raiskuma
raunas,Raunas
rankas,Rankas
ranku,Raņķu
ramatas,Ramatas
rabat_malta,Rabat (Malta)
