name_clean,name_real
stralendorf,Stralendorf
stutzengrun,Stützengrün
stollberg_erzgeb,Stollberg/Erzgeb.
striegistal,Striegistal
st_egidien,St. Egidien
steinigtwolmsdorf,Steinigtwolmsdorf
steina,Steina
stauchitz,Stauchitz
strehla,Strehla
stolpen,Stolpen
struppen,Struppen
stadt_wehlen,Stadt Wehlen
stossen,Stößen
steigra,Steigra
stassfurt,Staßfurt
stendal,Stendal
steinheuterode,Steinheuterode
stadtlengsfeld,Stadtlengsfeld
steinbach_hallenberg,Steinbach-Hallenberg
stepfershausen,Stepfershausen
straussfurt,Straußfurt
st_bernhard,St. Bernhard
straufhain,Straufhain
st_kilian,St. Kilian
stadtilm,Stadtilm
stutzerbach,Stützerbach
st_gangloff,St. Gangloff
stadtroda,Stadtroda
stanau,Stanau
starkenberg,Starkenberg
stagstrup,Stagstrup
stenbjerg,Stenbjerg
stenum,Stenum
strandby,Strandby
store_brondum,Store Brøndum
stovring,Støvring
stenild,Stenild
storvorde,Storvorde
store_ajstrup,Store Ajstrup
studsgard,Studsgård
staby,Staby
struer,Struer
stenvad,Stenvad
stilling,Stilling
storring,Storring
stjaer,Stjær
stadil,Stadil
stauning,Stauning
stenderup,Stenderup
stouby,Stouby
store_dalby,Store Dalby
stoholm,Stoholm
strib,Strib
stubberup,Stubberup
stenlose,Stenløse
stige,Stige
stenstrup,Stenstrup
stryno,Strynø
stoense,Stoense
strellev,Strellev
stepping,Stepping
store_magleby,Store Magleby
stengard,Stengård
strandmark,Strandmark
sthens,Sthens
stro,Strø
store_tastrup,Store Tåstrup
stigs_bjerby_morkov,Stigs Bjerby-Mørkøv
store_fuglede,Store Fuglede
stroby,Strøby
store_heddinge,Store Heddinge
stenlille,Stenlille
stenmagle,Stenmagle
stokkemarke,Stokkemarke
stormark,Stormark
stubbekobing,Stubbekøbing
stadager,Stadager
stege,Stege
stensby,Stensby
stains,Stains
stigny,Stigny
staple,Staple
steenbecque,Steenbecque
steene,Steene
steenvoorde,Steenvoorde
steenwerck,Steenwerck
strazeele,Strazeele
stonne,Stonne
stainville,Stainville
stenay,Stenay
stiring_wendel,Stiring-Wendel
sturzelbronn,Sturzelbronn
stuckange,Stuckange
stattmatten,Stattmatten
steinseltz,Steinseltz
stundwiller,Stundwiller
still,Still
steinbourg,Steinbourg
stutzheim_offenheim,Stutzheim-Offenheim
steige,Steige
stotzheim,Stotzheim
strasbourg,Strasbourg
steinsoultz,Steinsoultz
sternenberg,Sternenberg
strueth,Strueth
stosswihr,Stosswihr
staffelfelden,Staffelfelden
steinbrunn_le_bas,Steinbrunn-le-Bas
steinbrunn_le_haut,Steinbrunn-le-Haut
storckensohn,Storckensohn
strenquels,Strenquels
stazzona,Stazzona
stupnik,Stupnik
stubicke_toplice,Stubičke Toplice
stara_gradiska,Stara Gradiška
staro_petrovo_selo,Staro Petrovo Selo
stankovci,Stankovci
starigrad,Starigrad
strizivojna,Strizivojna
stari_jankovci,Stari Jankovci
stari_mikanovci,Stari Mikanovci
stari_grad,Stari Grad
ston,Ston
strahoninec,Strahoninec
stradone,Stradone
st_johnstown,St. Johnstown
straid,Straid
stranorlar,Stranorlar
st_patricks,St. Patrick's
stralongford,Stralongford
st_peters,St. Peter's
stabannan,Stabannan
st_lawrence_gate,St. Lawrence Gate
st_marys_part,St. Mary's (Part)
st_tierney,St. Tierney
streamstown,Streamstown
stradbally,Stradbally
stonehall,Stonehall
street,Street
st_nicholas_number_toghroinn_san_nioclais,St. Nicholas#Toghroinn San Niocláis
strade,Strade
strokestown,Strokestown
stillorgan_deerpark,Stillorgan-Deerpark
stillorgan_kilmacud,Stillorgan-Kilmacud
stillorgan_leopardstown,Stillorgan-Leopardstown
stillorgan_merville,Stillorgan-Merville
stillorgan_mount_merrion,Stillorgan-Mount Merrion
stillorgan_priory,Stillorgan-Priory
straffan,Straffan
st_marys,St. Mary's
stackallan,Stackallan
staholmog,Staholmog
stamullin,Stamullin
stonefield,Stonefield
stratford,Stratford
st_martins,St. Martin's
st_laurence,St. Laurence
st_canice,St. Canice
stonyford,Stonyford
st_helens,St. Helen's
st_patricks_a,St. Patrick's A
st_patricks_b,St. Patrick's B
st_patricks_c,St. Patrick's C
streamhill,Streamhill
st_finans_number_toghroinn_fhionain,St. Finan's#Toghroinn Fhíonáin
stradbally_number_an_sraidbhaile,Stradbally#An Sráidbhaile
stykkisholmsbaer,Stykkishólmsbær
strandabyggd,Strandabyggð
strambinello,Strambinello
strambino,Strambino
stroppiana,Stroppiana
stroppo,Stroppo
stazzano,Stazzano
strevi,Strevi
strona,Strona
stresa,Stresa
stezzano,Stezzano
strozza,Strozza
stradella,Stradella
stagno_lombardo,Stagno Lombardo
stella,Stella
stellanello,Stellanello
stelvio_number_stilfs,Stelvio#Stilfs
stenico,Stenico
storo,Storo
strembo,Strembo
stra,Stra
stanghella,Stanghella
stienta,Stienta
stregna,Stregna
staranzano,Staranzano
stazzema,Stazzema
stroncone,Stroncone
staffolo,Staffolo
stimigliano,Stimigliano
strangolagalli,Strangolagalli
striano,Striano
sturno,Sturno
stella_cilento,Stella Cilento
stio,Stio
stornara,Stornara
stornarella,Stornarella
statte,Statte
sternatia,Sternatia
stigliano,Stigliano
staletti,Stalettì
staiti,Staiti
stignano,Stignano
stilo,Stilo
strongoli,Strongoli
stefanaconi,Stefanaconi
stintino,Stintino
stakliskes,Stakliškės
stoniskiai,Stoniškiai
stalgenai,Stalgėnai
strunaitis,Strūnaitis
steinfort,Steinfort
steinsel,Steinsel
stadtbredimus,Stadtbredimus
staburaga,Staburaga
stelpes,Stelpes
stalbes,Stalbes
straupes,Straupes
stamerienas,Stāmerienas
stradu,Stradu
staicele,Staicele
staiceles,Staiceles
stabulnieku,Stabulnieku
stolerovas,Stoļerovas
struzanu,Stružānu
stopinu_novads,Stopiņu novads
stende,Stende
strazdes,Strazdes
strenci,Strenči
stadskanaal,Stadskanaal
staphorst,Staphorst
steenwijkerland,Steenwijkerland
stichtse_vecht,Stichtse Vecht
stede_broec,Stede Broec
strijen,Strijen
steenbergen,Steenbergen
stange,Stange
stor_elvdal,Stor-Elvdal
stavanger,Stavanger
strand,Strand
stord,Stord
stryn,Stryn
stranda,Stranda
stordal,Stordal
steinkjer,Steinkjer
stjordal,Stjørdal
steigen,Steigen
storfjord,Storfjord
stara_kamienica,Stara Kamienica
stronie_slaskie,Stronie Śląskie
strzelin,Strzelin
strzegom,Strzegom
stare_bogaczowice,Stare Bogaczowice
stoszowice,Stoszowice
stolno,Stolno
strzelno,Strzelno
strzyzewice,Strzyżewice
stoczek_lukowski,Stoczek Łukowski
stanin,Stanin
stezyca,Stężyca
stary_brus,Stary Brus
stary_zamosc,Stary Zamość
stare_kurowo,Stare Kurowo
strzelce_krajenskie,Strzelce Krajeńskie
strzelce,Strzelce
strzelce_wielkie,Strzelce Wielkie
strykow,Stryków
stary_sacz,Stary Sącz
stryszawa,Stryszawa
stryszow,Stryszów
stara_blotnica,Stara Błotnica
stromiec,Stromiec
stara_kornica,Stara Kornica
stanislawow,Stanisławów
strzegowo,Strzegowo
stupsk,Stupsk
stary_lubotyn,Stary Lubotyń
stara_biala,Stara Biała
starozreby,Staroźreby
sterdyn,Sterdyń
stare_babice,Stare Babice
stoczek,Stoczek
strachowka,Strachówka
strzeleczki,Strzeleczki
strzelce_opolskie,Strzelce Opolskie
stary_dzikow,Stary Dzików
stubno,Stubno
stalowa_wola,Stalowa Wola
strzyzow,Strzyżów
stawiski,Stawiski
studzienice,Studzienice
stara_kiszewa,Stara Kiszewa
stare_pole,Stare Pole
stegna,Stegna
starogard_gdanski,Starogard Gdański
stary_dzierzgon,Stary Dzierzgoń
stary_targ,Stary Targ
strumien,Strumień
starcza,Starcza
stopnica,Stopnica
strawczyn,Strawczyn
staporkow,Stąporków
starachowice,Starachowice
staszow,Staszów
stare_juchy,Stare Juchy
stawiguda,Stawiguda
stawiszyn,Stawiszyn
stare_miasto,Stare Miasto
steszew,Stęszew
